"cohort_month","month_0_awal","month_1","month_2","month_3","month_4","month_5","month_6"
"2016-10-01 00:00:00",262,0,0,0,0,0,1
"2016-12-01 00:00:00",1,1,0,0,0,0,0
"2017-01-01 00:00:00",717,2,2,1,3,1,3
"2017-02-01 00:00:00",1628,3,5,2,7,2,4
"2017-03-01 00:00:00",2503,11,9,10,9,4,4
"2017-04-01 00:00:00",2256,14,5,4,6,6,8
"2017-05-01 00:00:00",3451,16,16,10,10,11,14
"2017-06-01 00:00:00",3037,15,12,13,9,12,11
"2017-07-01 00:00:00",3752,20,13,9,11,8,12
"2017-08-01 00:00:00",4057,28,14,11,14,21,12
"2017-09-01 00:00:00",4004,28,22,11,18,9,9
"2017-10-01 00:00:00",4328,31,11,4,10,9,9
"2017-11-01 00:00:00",7060,40,26,12,12,13,8
"2017-12-01 00:00:00",5338,11,15,18,14,11,9
"2018-01-01 00:00:00",6842,23,25,20,20,11,12
"2018-02-01 00:00:00",6288,22,25,19,16,14,13
"2018-03-01 00:00:00",6774,27,20,20,8,8,0
"2018-04-01 00:00:00",6582,39,20,16,9,0,0
"2018-05-01 00:00:00",6506,34,17,12,0,0,0
"2018-06-01 00:00:00",5878,25,16,0,0,0,0
"2018-07-01 00:00:00",5949,31,0,0,0,0,0
"2018-08-01 00:00:00",6144,0,0,0,0,0,0
